idx,file,branch_id,branch_name,cache_id,cache_name,size_tier,SIZE,N,predictor_stress_type,expected_dominant_miss_type,kind
12,0012_grid_b01_always_taken__c12_prime_stride_anti_alias.c,b01,always_taken,c12,prime_stride_anti_alias,xlarge_DRAM,8388608,8000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
13,0013_grid_b01_always_taken__c13_two_stream_interleaved.c,b01,always_taken,c13,two_stream_interleaved,small_L1,4096,1000000,static/trivial,mixed/unclassified,grid
14,0014_grid_b01_always_taken__c14_temporal_burst_reuse.c,b01,always_taken,c14,temporal_burst_reuse,medium_L2,65536,3000000,static/trivial,mixed/unclassified,grid
15,0015_grid_b01_always_taken__c15_reverse_sequential.c,b01,always_taken,c15,reverse_sequential,large_L3,1048576,5000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
16,0016_grid_b01_always_taken__c16_block_sparse.c,b01,always_taken,c16,block_sparse,xlarge_DRAM,8388608,8000000,static/trivial,mixed spatial (traversal-order dependent),grid
17,0017_grid_b01_always_taken__c17_zipf_like_hot_buckets.c,b01,always_taken,c17,zipf_like_hot_buckets,small_L1,4096,1000000,static/trivial,temporal reuse (skewed/hot-set),grid
18,0018_grid_b01_always_taken__c18_producer_consumer_two_pointer.c,b01,always_taken,c18,producer_consumer_two_pointer,medium_L2,65536,3000000,static/trivial,mixed/unclassified,grid
19,0019_grid_b01_always_taken__c19_matrix_diagonal_wavefront.c,b01,always_taken,c19,matrix_diagonal_wavefront,large_L3,1048576,5000000,static/trivial,mixed spatial (traversal-order dependent),grid
20,0020_grid_b01_always_taken__c20_hot_cold_phase_alternation.c,b01,always_taken,c20,hot_cold_phase_alternation,xlarge_DRAM,8388608,8000000,static/trivial,temporal reuse (skewed/hot-set),grid
21,0021_grid_b01_always_taken__c21_pyramid_multiresolution_stride.c,b01,always_taken,c21,pyramid_multiresolution_stride,small_L1,4096,1000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
22,0022_grid_b01_always_taken__c22_tensor_3d_slice_poor_locality.c,b01,always_taken,c22,tensor_3d_slice_poor_locality,medium_L2,65536,3000000,static/trivial,mixed/unclassified,grid
23,0023_grid_b01_always_taken__c23_struct_of_array_field_burst.c,b01,always_taken,c23,struct_of_array_field_burst,large_L3,1048576,5000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
24,0024_grid_b01_always_taken__c24_banked_interleaved_access.c,b01,always_taken,c24,banked_interleaved_access,xlarge_DRAM,8388608,8000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
25,0025_grid_b01_always_taken__c25_lru_recency_weighted_reuse.c,b01,always_taken,c25,lru_recency_weighted_reuse,small_L1,4096,1000000,static/trivial,temporal reuse (capacity-sensitive),grid
26,0026_grid_b01_always_taken__c26_geometric_stride_growth.c,b01,always_taken,c26,geometric_stride_growth,medium_L2,65536,3000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
27,0027_grid_b01_always_taken__c27_reduction_broadcast_pattern.c,b01,always_taken,c27,reduction_broadcast_pattern,large_L3,1048576,5000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
28,0028_grid_b01_always_taken__c28_morton_zorder_traversal.c,b01,always_taken,c28,morton_zorder_traversal,xlarge_DRAM,8388608,8000000,static/trivial,mixed spatial (traversal-order dependent),grid
29,0029_grid_b01_always_taken__c29_ping_pong_cache_thrash.c,b01,always_taken,c29,ping_pong_cache_thrash,small_L1,4096,1000000,static/trivial,conflict/associativity,grid
30,0030_grid_b01_always_taken__c30_gather_scatter_indirect_table.c,b01,always_taken,c30,gather_scatter_indirect_table,medium_L2,65536,3000000,static/trivial,capacity (uniform random),grid
31,0031_grid_b01_always_taken__c31_fibonacci_stride.c,b01,always_taken,c31,fibonacci_stride,large_L3,1048576,5000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
32,0032_grid_b01_always_taken__c32_hilbert_curve_traversal.c,b01,always_taken,c32,hilbert_curve_traversal,xlarge_DRAM,8388608,8000000,static/trivial,mixed spatial (traversal-order dependent),grid
33,0033_grid_b01_always_taken__c33_cache_set_conflict_stress.c,b01,always_taken,c33,cache_set_conflict_stress,small_L1,4096,1000000,static/trivial,conflict/associativity,grid
34,0034_grid_b01_always_taken__c34_variable_length_burst_reuse.c,b01,always_taken,c34,variable_length_burst_reuse,medium_L2,65536,3000000,static/trivial,capacity (uniform random),grid
35,0035_grid_b01_always_taken__c35_checkerboard_red_black.c,b01,always_taken,c35,checkerboard_red_black,large_L3,1048576,5000000,static/trivial,mixed spatial (traversal-order dependent),grid
36,0036_grid_b01_always_taken__c36_im2col_overlapping_patch_gather.c,b01,always_taken,c36,im2col_overlapping_patch_gather,xlarge_DRAM,8388608,8000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
37,0037_grid_b01_always_taken__c37_double_buffer_epoch_alternation.c,b01,always_taken,c37,double_buffer_epoch_alternation,small_L1,4096,1000000,static/trivial,conflict+capacity (thrashing/alternation),grid
38,0038_grid_b01_always_taken__c38_cuckoo_double_hash_probe.c,b01,always_taken,c38,cuckoo_double_hash_probe,medium_L2,65536,3000000,static/trivial,capacity+compulsory (indirect gather/scatter),grid
39,0039_grid_b01_always_taken__c39_bounded_random_walk.c,b01,always_taken,c39,bounded_random_walk,large_L3,1048576,5000000,static/trivial,capacity (uniform random),grid
40,0040_grid_b01_always_taken__c40_causal_attention_triangular.c,b01,always_taken,c40,causal_attention_triangular,xlarge_DRAM,8388608,8000000,static/trivial,mixed/unclassified,grid
41,0041_grid_b01_always_taken__c41_skip_list_multilevel_hop.c,b01,always_taken,c41,skip_list_multilevel_hop,small_L1,4096,1000000,static/trivial,"compulsory+latency-bound (dependent loads, no prefetch)",grid
42,0042_grid_b01_always_taken__c42_cache_oblivious_funnel_stride.c,b01,always_taken,c42,cache_oblivious_funnel_stride,medium_L2,65536,3000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
43,0043_grid_b01_always_taken__c43_whole_buffer_rotation.c,b01,always_taken,c43,whole_buffer_rotation,large_L3,1048576,5000000,static/trivial,mixed/unclassified,grid
44,0044_grid_b01_always_taken__c44_naive_gemm_row_col_alternation.c,b01,always_taken,c44,naive_gemm_row_col_alternation,xlarge_DRAM,8388608,8000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
45,0045_grid_b01_always_taken__c45_read_hot_write_cold_split.c,b01,always_taken,c45,read_hot_write_cold_split,small_L1,4096,1000000,static/trivial,temporal reuse (skewed/hot-set),grid
46,0046_grid_b01_always_taken__c46_cantor_gap_sparse.c,b01,always_taken,c46,cantor_gap_sparse,medium_L2,65536,3000000,static/trivial,"compulsory (sparse, low reuse)",grid
47,0047_grid_b01_always_taken__c47_false_sharing_line_cycle.c,b01,always_taken,c47,false_sharing_line_cycle,large_L3,1048576,5000000,static/trivial,conflict/associativity,grid
48,0048_grid_b01_always_taken__c48_exponential_backoff_probe.c,b01,always_taken,c48,exponential_backoff_probe,xlarge_DRAM,8388608,8000000,static/trivial,capacity (uniform random),grid
49,0049_grid_b01_always_taken__c49_binary_heap_parent_child.c,b01,always_taken,c49,binary_heap_parent_child,small_L1,4096,1000000,static/trivial,capacity (uniform random),grid
50,0050_grid_b01_always_taken__c50_streaming_with_periodic_flush.c,b01,always_taken,c50,streaming_with_periodic_flush,medium_L2,65536,3000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
51,0051_grid_b02_always_not_taken__c01_sequential_unit_stride.c,b02,always_not_taken,c01,sequential_unit_stride,medium_L2,65536,3000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
52,0052_grid_b02_always_not_taken__c02_sequential_wraparound_large.c,b02,always_not_taken,c02,sequential_wraparound_large,large_L3,1048576,5000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
53,0053_grid_b02_always_not_taken__c03_fixed_stride_small.c,b02,always_not_taken,c03,fixed_stride_small,xlarge_DRAM,8388608,8000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
54,0054_grid_b02_always_not_taken__c04_fixed_stride_large.c,b02,always_not_taken,c04,fixed_stride_large,small_L1,4096,1000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
55,0055_grid_b02_always_not_taken__c05_random_small_working_set.c,b02,always_not_taken,c05,random_small_working_set,medium_L2,65536,3000000,static/trivial,temporal reuse (capacity-sensitive),grid
56,0056_grid_b02_always_not_taken__c06_random_full_working_set.c,b02,always_not_taken,c06,random_full_working_set,large_L3,1048576,5000000,static/trivial,capacity (uniform random),grid
57,0057_grid_b02_always_not_taken__c07_matrix_row_major.c,b02,always_not_taken,c07,matrix_row_major,xlarge_DRAM,8388608,8000000,static/trivial,mixed spatial (traversal-order dependent),grid
58,0058_grid_b02_always_not_taken__c08_matrix_col_major.c,b02,always_not_taken,c08,matrix_col_major,small_L1,4096,1000000,static/trivial,mixed spatial (traversal-order dependent),grid
59,0059_grid_b02_always_not_taken__c09_matrix_tiled_blocked.c,b02,always_not_taken,c09,matrix_tiled_blocked,medium_L2,65536,3000000,static/trivial,mixed spatial (traversal-order dependent),grid
60,0060_grid_b02_always_not_taken__c10_pointer_chase_linked_list.c,b02,always_not_taken,c10,pointer_chase_linked_list,large_L3,1048576,5000000,static/trivial,"compulsory+latency-bound (dependent loads, no prefetch)",grid
61,0061_grid_b02_always_not_taken__c11_sliding_window.c,b02,always_not_taken,c11,sliding_window,xlarge_DRAM,8388608,8000000,static/trivial,mixed/unclassified,grid
62,0062_grid_b02_always_not_taken__c12_prime_stride_anti_alias.c,b02,always_not_taken,c12,prime_stride_anti_alias,small_L1,4096,1000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
63,0063_grid_b02_always_not_taken__c13_two_stream_interleaved.c,b02,always_not_taken,c13,two_stream_interleaved,medium_L2,65536,3000000,static/trivial,mixed/unclassified,grid
64,0064_grid_b02_always_not_taken__c14_temporal_burst_reuse.c,b02,always_not_taken,c14,temporal_burst_reuse,large_L3,1048576,5000000,static/trivial,mixed/unclassified,grid
65,0065_grid_b02_always_not_taken__c15_reverse_sequential.c,b02,always_not_taken,c15,reverse_sequential,xlarge_DRAM,8388608,8000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
66,0066_grid_b02_always_not_taken__c16_block_sparse.c,b02,always_not_taken,c16,block_sparse,small_L1,4096,1000000,static/trivial,mixed spatial (traversal-order dependent),grid
67,0067_grid_b02_always_not_taken__c17_zipf_like_hot_buckets.c,b02,always_not_taken,c17,zipf_like_hot_buckets,medium_L2,65536,3000000,static/trivial,temporal reuse (skewed/hot-set),grid
68,0068_grid_b02_always_not_taken__c18_producer_consumer_two_pointer.c,b02,always_not_taken,c18,producer_consumer_two_pointer,large_L3,1048576,5000000,static/trivial,mixed/unclassified,grid
69,0069_grid_b02_always_not_taken__c19_matrix_diagonal_wavefront.c,b02,always_not_taken,c19,matrix_diagonal_wavefront,xlarge_DRAM,8388608,8000000,static/trivial,mixed spatial (traversal-order dependent),grid
70,0070_grid_b02_always_not_taken__c20_hot_cold_phase_alternation.c,b02,always_not_taken,c20,hot_cold_phase_alternation,small_L1,4096,1000000,static/trivial,temporal reuse (skewed/hot-set),grid
71,0071_grid_b02_always_not_taken__c21_pyramid_multiresolution_stride.c,b02,always_not_taken,c21,pyramid_multiresolution_stride,medium_L2,65536,3000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
72,0072_grid_b02_always_not_taken__c22_tensor_3d_slice_poor_locality.c,b02,always_not_taken,c22,tensor_3d_slice_poor_locality,large_L3,1048576,5000000,static/trivial,mixed/unclassified,grid
73,0073_grid_b02_always_not_taken__c23_struct_of_array_field_burst.c,b02,always_not_taken,c23,struct_of_array_field_burst,xlarge_DRAM,8388608,8000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
74,0074_grid_b02_always_not_taken__c24_banked_interleaved_access.c,b02,always_not_taken,c24,banked_interleaved_access,small_L1,4096,1000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
75,0075_grid_b02_always_not_taken__c25_lru_recency_weighted_reuse.c,b02,always_not_taken,c25,lru_recency_weighted_reuse,medium_L2,65536,3000000,static/trivial,temporal reuse (capacity-sensitive),grid
76,0076_grid_b02_always_not_taken__c26_geometric_stride_growth.c,b02,always_not_taken,c26,geometric_stride_growth,large_L3,1048576,5000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
77,0077_grid_b02_always_not_taken__c27_reduction_broadcast_pattern.c,b02,always_not_taken,c27,reduction_broadcast_pattern,xlarge_DRAM,8388608,8000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
78,0078_grid_b02_always_not_taken__c28_morton_zorder_traversal.c,b02,always_not_taken,c28,morton_zorder_traversal,small_L1,4096,1000000,static/trivial,mixed spatial (traversal-order dependent),grid
79,0079_grid_b02_always_not_taken__c29_ping_pong_cache_thrash.c,b02,always_not_taken,c29,ping_pong_cache_thrash,medium_L2,65536,3000000,static/trivial,conflict/associativity,grid
80,0080_grid_b02_always_not_taken__c30_gather_scatter_indirect_table.c,b02,always_not_taken,c30,gather_scatter_indirect_table,large_L3,1048576,5000000,static/trivial,capacity (uniform random),grid
81,0081_grid_b02_always_not_taken__c31_fibonacci_stride.c,b02,always_not_taken,c31,fibonacci_stride,xlarge_DRAM,8388608,8000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
82,0082_grid_b02_always_not_taken__c32_hilbert_curve_traversal.c,b02,always_not_taken,c32,hilbert_curve_traversal,small_L1,4096,1000000,static/trivial,mixed spatial (traversal-order dependent),grid
83,0083_grid_b02_always_not_taken__c33_cache_set_conflict_stress.c,b02,always_not_taken,c33,cache_set_conflict_stress,medium_L2,65536,3000000,static/trivial,conflict/associativity,grid
84,0084_grid_b02_always_not_taken__c34_variable_length_burst_reuse.c,b02,always_not_taken,c34,variable_length_burst_reuse,large_L3,1048576,5000000,static/trivial,capacity (uniform random),grid
85,0085_grid_b02_always_not_taken__c35_checkerboard_red_black.c,b02,always_not_taken,c35,checkerboard_red_black,xlarge_DRAM,8388608,8000000,static/trivial,mixed spatial (traversal-order dependent),grid
86,0086_grid_b02_always_not_taken__c36_im2col_overlapping_patch_gather.c,b02,always_not_taken,c36,im2col_overlapping_patch_gather,small_L1,4096,1000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
87,0087_grid_b02_always_not_taken__c37_double_buffer_epoch_alternation.c,b02,always_not_taken,c37,double_buffer_epoch_alternation,medium_L2,65536,3000000,static/trivial,conflict+capacity (thrashing/alternation),grid
88,0088_grid_b02_always_not_taken__c38_cuckoo_double_hash_probe.c,b02,always_not_taken,c38,cuckoo_double_hash_probe,large_L3,1048576,5000000,static/trivial,capacity+compulsory (indirect gather/scatter),grid
89,0089_grid_b02_always_not_taken__c39_bounded_random_walk.c,b02,always_not_taken,c39,bounded_random_walk,xlarge_DRAM,8388608,8000000,static/trivial,capacity (uniform random),grid
90,0090_grid_b02_always_not_taken__c40_causal_attention_triangular.c,b02,always_not_taken,c40,causal_attention_triangular,small_L1,4096,1000000,static/trivial,mixed/unclassified,grid
91,0091_grid_b02_always_not_taken__c41_skip_list_multilevel_hop.c,b02,always_not_taken,c41,skip_list_multilevel_hop,medium_L2,65536,3000000,static/trivial,"compulsory+latency-bound (dependent loads, no prefetch)",grid
92,0092_grid_b02_always_not_taken__c42_cache_oblivious_funnel_stride.c,b02,always_not_taken,c42,cache_oblivious_funnel_stride,large_L3,1048576,5000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
93,0093_grid_b02_always_not_taken__c43_whole_buffer_rotation.c,b02,always_not_taken,c43,whole_buffer_rotation,xlarge_DRAM,8388608,8000000,static/trivial,mixed/unclassified,grid
94,0094_grid_b02_always_not_taken__c44_naive_gemm_row_col_alternation.c,b02,always_not_taken,c44,naive_gemm_row_col_alternation,small_L1,4096,1000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
95,0095_grid_b02_always_not_taken__c45_read_hot_write_cold_split.c,b02,always_not_taken,c45,read_hot_write_cold_split,medium_L2,65536,3000000,static/trivial,temporal reuse (skewed/hot-set),grid
96,0096_grid_b02_always_not_taken__c46_cantor_gap_sparse.c,b02,always_not_taken,c46,cantor_gap_sparse,large_L3,1048576,5000000,static/trivial,"compulsory (sparse, low reuse)",grid
97,0097_grid_b02_always_not_taken__c47_false_sharing_line_cycle.c,b02,always_not_taken,c47,false_sharing_line_cycle,xlarge_DRAM,8388608,8000000,static/trivial,conflict/associativity,grid
98,0098_grid_b02_always_not_taken__c48_exponential_backoff_probe.c,b02,always_not_taken,c48,exponential_backoff_probe,small_L1,4096,1000000,static/trivial,capacity (uniform random),grid
99,0099_grid_b02_always_not_taken__c49_binary_heap_parent_child.c,b02,always_not_taken,c49,binary_heap_parent_child,medium_L2,65536,3000000,static/trivial,capacity (uniform random),grid
100,0100_grid_b02_always_not_taken__c50_streaming_with_periodic_flush.c,b02,always_not_taken,c50,streaming_with_periodic_flush,large_L3,1048576,5000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
101,0101_grid_b03_alternating__c01_sequential_unit_stride.c,b03,alternating,c01,sequential_unit_stride,large_L3,1048576,5000000,static/periodic,compulsory+streaming (prefetch-friendly),grid
102,0102_grid_b03_alternating__c02_sequential_wraparound_large.c,b03,alternating,c02,sequential_wraparound_large,xlarge_DRAM,8388608,8000000,static/periodic,compulsory+streaming (prefetch-friendly),grid
103,0103_grid_b03_alternating__c03_fixed_stride_small.c,b03,alternating,c03,fixed_stride_small,small_L1,4096,1000000,static/periodic,compulsory+streaming (prefetch-friendly),grid
104,0104_grid_b03_alternating__c04_fixed_stride_large.c,b03,alternating,c04,fixed_stride_large,medium_L2,65536,3000000,static/periodic,compulsory+streaming (prefetch-friendly),grid
105,0105_grid_b03_alternating__c05_random_small_working_set.c,b03,alternating,c05,random_small_working_set,large_L3,1048576,5000000,static/periodic,temporal reuse (capacity-sensitive),grid
106,0106_grid_b03_alternating__c06_random_full_working_set.c,b03,alternating,c06,random_full_working_set,xlarge_DRAM,8388608,8000000,static/periodic,capacity (uniform random),grid
107,0107_grid_b03_alternating__c07_matrix_row_major.c,b03,alternating,c07,matrix_row_major,small_L1,4096,1000000,static/periodic,mixed spatial (traversal-order dependent),grid
108,0108_grid_b03_alternating__c08_matrix_col_major.c,b03,alternating,c08,matrix_col_major,medium_L2,65536,3000000,static/periodic,mixed spatial (traversal-order dependent),grid
109,0109_grid_b03_alternating__c09_matrix_tiled_blocked.c,b03,alternating,c09,matrix_tiled_blocked,large_L3,1048576,5000000,static/periodic,mixed spatial (traversal-order dependent),grid
110,0110_grid_b03_alternating__c10_pointer_chase_linked_list.c,b03,alternating,c10,pointer_chase_linked_list,xlarge_DRAM,8388608,8000000,static/periodic,"compulsory+latency-bound (dependent loads, no prefetch)",grid
111,0111_grid_b03_alternating__c11_sliding_window.c,b03,alternating,c11,sliding_window,small_L1,4096,1000000,static/periodic,mixed/unclassified,grid
112,0112_grid_b03_alternating__c12_prime_stride_anti_alias.c,b03,alternating,c12,prime_stride_anti_alias,medium_L2,65536,3000000,static/periodic,compulsory+streaming (prefetch-friendly),grid
113,0113_grid_b03_alternating__c13_two_stream_interleaved.c,b03,alternating,c13,two_stream_interleaved,large_L3,1048576,5000000,static/periodic,mixed/unclassified,grid
114,0114_grid_b03_alternating__c14_temporal_burst_reuse.c,b03,alternating,c14,temporal_burst_reuse,xlarge_DRAM,8388608,8000000,static/periodic,mixed/unclassified,grid
115,0115_grid_b03_alternating__c15_reverse_sequential.c,b03,alternating,c15,reverse_sequential,small_L1,4096,1000000,static/periodic,compulsory+streaming (prefetch-friendly),grid
116,0116_grid_b03_alternating__c16_block_sparse.c,b03,alternating,c16,block_sparse,medium_L2,65536,3000000,static/periodic,mixed spatial (traversal-order dependent),grid
117,0117_grid_b03_alternating__c17_zipf_like_hot_buckets.c,b03,alternating,c17,zipf_like_hot_buckets,large_L3,1048576,5000000,static/periodic,temporal reuse (skewed/hot-set),grid
118,0118_grid_b03_alternating__c18_producer_consumer_two_pointer.c,b03,alternating,c18,producer_consumer_two_pointer,xlarge_DRAM,8388608,8000000,static/periodic,mixed/unclassified,grid
119,0119_grid_b03_alternating__c19_matrix_diagonal_wavefront.c,b03,alternating,c19,matrix_diagonal_wavefront,small_L1,4096,1000000,static/periodic,mixed spatial (traversal-order dependent),grid
120,0120_grid_b03_alternating__c20_hot_cold_phase_alternation.c,b03,alternating,c20,hot_cold_phase_alternation,medium_L2,65536,3000000,static/periodic,temporal reuse (skewed/hot-set),grid
121,0121_grid_b03_alternating__c21_pyramid_multiresolution_stride.c,b03,alternating,c21,pyramid_multiresolution_stride,large_L3,1048576,5000000,static/periodic,compulsory+streaming (prefetch-friendly),grid
122,0122_grid_b03_alternating__c22_tensor_3d_slice_poor_locality.c,b03,alternating,c22,tensor_3d_slice_poor_locality,xlarge_DRAM,8388608,8000000,static/periodic,mixed/unclassified,grid
123,0123_grid_b03_alternating__c23_struct_of_array_field_burst.c,b03,alternating,c23,struct_of_array_field_burst,small_L1,4096,1000000,static/periodic,compulsory+streaming (prefetch-friendly),grid
124,0124_grid_b03_alternating__c24_banked_interleaved_access.c,b03,alternating,c24,banked_interleaved_access,medium_L2,65536,3000000,static/periodic,compulsory+streaming (prefetch-friendly),grid
125,0125_grid_b03_alternating__c25_lru_recency_weighted_reuse.c,b03,alternating,c25,lru_recency_weighted_reuse,large_L3,1048576,5000000,static/periodic,temporal reuse (capacity-sensitive),grid
126,0126_grid_b03_alternating__c26_geometric_stride_growth.c,b03,alternating,c26,geometric_stride_growth,xlarge_DRAM,8388608,8000000,static/periodic,compulsory+streaming (prefetch-friendly),grid
127,0127_grid_b03_alternating__c27_reduction_broadcast_pattern.c,b03,alternating,c27,reduction_broadcast_pattern,small_L1,4096,1000000,static/periodic,compulsory+streaming (prefetch-friendly),grid
128,0128_grid_b03_alternating__c28_morton_zorder_traversal.c,b03,alternating,c28,morton_zorder_traversal,medium_L2,65536,3000000,static/periodic,mixed spatial (traversal-order dependent),grid
129,0129_grid_b03_alternating__c29_ping_pong_cache_thrash.c,b03,alternating,c29,ping_pong_cache_thrash,large_L3,1048576,5000000,static/periodic,conflict/associativity,grid
130,0130_grid_b03_alternating__c30_gather_scatter_indirect_table.c,b03,alternating,c30,gather_scatter_indirect_table,xlarge_DRAM,8388608,8000000,static/periodic,capacity (uniform random),grid
131,0131_grid_b03_alternating__c31_fibonacci_stride.c,b03,alternating,c31,fibonacci_stride,small_L1,4096,1000000,static/periodic,compulsory+streaming (prefetch-friendly),grid
132,0132_grid_b03_alternating__c32_hilbert_curve_traversal.c,b03,alternating,c32,hilbert_curve_traversal,medium_L2,65536,3000000,static/periodic,mixed spatial (traversal-order dependent),grid
133,0133_grid_b03_alternating__c33_cache_set_conflict_stress.c,b03,alternating,c33,cache_set_conflict_stress,large_L3,1048576,5000000,static/periodic,conflict/associativity,grid
134,0134_grid_b03_alternating__c34_variable_length_burst_reuse.c,b03,alternating,c34,variable_length_burst_reuse,xlarge_DRAM,8388608,8000000,static/periodic,capacity (uniform random),grid
135,0135_grid_b03_alternating__c35_checkerboard_red_black.c,b03,alternating,c35,checkerboard_red_black,small_L1,4096,1000000,static/periodic,mixed spatial (traversal-order dependent),grid
136,0136_grid_b03_alternating__c36_im2col_overlapping_patch_gather.c,b03,alternating,c36,im2col_overlapping_patch_gather,medium_L2,65536,3000000,static/periodic,compulsory+streaming (prefetch-friendly),grid
137,0137_grid_b03_alternating__c37_double_buffer_epoch_alternation.c,b03,alternating,c37,double_buffer_epoch_alternation,large_L3,1048576,5000000,static/periodic,conflict+capacity (thrashing/alternation),grid
138,0138_grid_b03_alternating__c38_cuckoo_double_hash_probe.c,b03,alternating,c38,cuckoo_double_hash_probe,xlarge_DRAM,8388608,8000000,static/periodic,capacity+compulsory (indirect gather/scatter),grid
139,0139_grid_b03_alternating__c39_bounded_random_walk.c,b03,alternating,c39,bounded_random_walk,small_L1,4096,1000000,static/periodic,capacity (uniform random),grid
140,0140_grid_b03_alternating__c40_causal_attention_triangular.c,b03,alternating,c40,causal_attention_triangular,medium_L2,65536,3000000,static/periodic,mixed/unclassified,grid
141,0141_grid_b03_alternating__c41_skip_list_multilevel_hop.c,b03,alternating,c41,skip_list_multilevel_hop,large_L3,1048576,5000000,static/periodic,"compulsory+latency-bound (dependent loads, no prefetch)",grid
142,0142_grid_b03_alternating__c42_cache_oblivious_funnel_stride.c,b03,alternating,c42,cache_oblivious_funnel_stride,xlarge_DRAM,8388608,8000000,static/periodic,compulsory+streaming (prefetch-friendly),grid
143,0143_grid_b03_alternating__c43_whole_buffer_rotation.c,b03,alternating,c43,whole_buffer_rotation,small_L1,4096,1000000,static/periodic,mixed/unclassified,grid
144,0144_grid_b03_alternating__c44_naive_gemm_row_col_alternation.c,b03,alternating,c44,naive_gemm_row_col_alternation,medium_L2,65536,3000000,static/periodic,compulsory+streaming (prefetch-friendly),grid
145,0145_grid_b03_alternating__c45_read_hot_write_cold_split.c,b03,alternating,c45,read_hot_write_cold_split,large_L3,1048576,5000000,static/periodic,temporal reuse (skewed/hot-set),grid
146,0146_grid_b03_alternating__c46_cantor_gap_sparse.c,b03,alternating,c46,cantor_gap_sparse,xlarge_DRAM,8388608,8000000,static/periodic,"compulsory (sparse, low reuse)",grid
147,0147_grid_b03_alternating__c47_false_sharing_line_cycle.c,b03,alternating,c47,false_sharing_line_cycle,small_L1,4096,1000000,static/periodic,conflict/associativity,grid
148,0148_grid_b03_alternating__c48_exponential_backoff_probe.c,b03,alternating,c48,exponential_backoff_probe,medium_L2,65536,3000000,static/periodic,capacity (uniform random),grid
149,0149_grid_b03_alternating__c49_binary_heap_parent_child.c,b03,alternating,c49,binary_heap_parent_child,large_L3,1048576,5000000,static/periodic,capacity (uniform random),grid
